n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
55	162.6933	36.91639	84.7231	353.8333	108.6002	114.7083	122.6132	132.616	141.2728	149.0805	155.9647	164.4172	175.3197	188.7326	210.2903	230.2781	248.8473
56	164.5117	34.75757	98.2141	322.0559	114.4989	119.9083	125.1119	135.4142	143.861	150.6054	159.0849	167.2692	177.302	189.9368	209.1554	232.3101	246.7225
57	170.0852	38.0683	95.6818	316.3116	111.9062	120.3786	125.1839	137.4882	146.5776	156.3714	165.0394	173.3003	184.9081	198.0934	219.759	241.9111	258.4395
58	170.771	33.49292	94.3504	345.058	115.6719	124.0726	131.2479	143.2166	150.7448	159.289	167.323	175.1742	183.5647	196.1428	212.4594	228.1863	243.6637
59	175.1453	37.03009	102.1665	327.2736	118.3385	125.6503	133.7086	144.9931	152.4238	161.6416	168.8165	178.1067	187.3259	201.4324	223.1883	247.3884	263.1406
60	181.7626	40.42313	102.1959	416.5477	122.4582	129.9154	137.0438	148.1958	157.1082	165.2211	174.7255	184.1983	196.1989	212.3935	235.7032	254.0689	269.416
61	182.069	36.22638	97.4115	331.9247	123.7982	130.1192	140.9397	151.9474	160.7171	168.0179	177.0988	186.9465	196.2498	209.2343	229.9522	249.6498	266.4076
62	185.2659	38.20029	106.2544	364.0632	125.8332	133.761	141.1382	153.6522	163.8933	170.924	180.1888	189.1031	200.3297	211.0687	231.372	256.6262	269.7332
63	189.3861	40.32203	106.9392	421.3265	123.5354	132.0341	142.0246	155.3898	165.5748	175.0314	184.8783	195.5505	206.1456	220.8076	241.2509	260.2883	274.84
64	194.0528	39.84052	111.8839	382.017	129.9038	139.7748	147.6177	159.731	171.0672	179.8777	188.7167	197.0761	209.0861	222.4702	244.477	272.9286	282.0319
65	198.9909	42.26748	114.241	396.1161	133.7423	141.4249	150.2831	162.8005	174.9085	183.9456	192.6603	202.5858	214.5507	230.974	253.9153	275.7644	292.243
66	199.4417	41.04122	102.7667	383.3393	132.4915	144.4749	154.6448	166.979	174.6854	183.894	193.2899	201.7721	214.6788	229.963	254.2184	277.6761	297.2827
67	204.4271	43.90008	113.3181	520.7581	134.8036	147.4076	156.4033	169.0148	179.6107	189.1349	198.0581	207.8052	219.0228	236.2351	260.0461	280.9039	297.3231
