n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
71	386.2516	96.27963	175.294	876.8911	225.7144	254.5643	276.2372	302.9785	325.3198	350.464	377.0133	400.1362	426.8267	458.2707	511.2338	553.8411	590.67
72	397.5276	96.3386	191.1413	777.5513	236.1123	256.1113	281.9628	314.0812	337.3796	361.8563	387.3977	411.4098	446.2645	477.3542	523.3269	573.0366	604.4882
73	403.8248	98.53165	195.3407	790.0563	236.943	263.2907	286.1066	320.1125	344.9522	370.3093	389.4111	414.1051	442.7516	487.4638	543.4556	583.7277	616.026
74	413.8923	106.4525	200.9278	822.7041	237.2509	266.3588	290.9828	324.3116	352.4897	372.3641	398.2047	421.1674	455.8245	495.4725	557.2827	616.2459	655.8971
75	421.5832	103.3947	203.1083	796.0433	253.4226	277.0235	299.1605	331.4483	360.795	384.2851	408.2756	433.5078	467.1338	501.8047	550.0854	616.0657	647.2588
76	433.0526	108.8919	185.8494	921.1097	259.355	278.4331	305.1311	339.0723	366.8337	394.5339	419.8762	448.1473	477.1069	514.4657	578.4324	632.8594	679.4078
77	437.7	105.8868	214.2942	859.9558	252.547	279.9268	308.9903	347.5845	373.509	402.1157	425.2105	452.2809	490.3295	528.5575	579.9491	626.1869	661.6646
78	453.7179	110.9642	208.0312	875.3034	272.3527	295.8446	319.8078	355.1042	384.6609	412.9927	437.9212	471.7351	503.8383	545.2568	605.1942	656.2157	684.7751
79	463.2878	114.2196	226.0619	940.3872	269.8092	297.1969	326.844	364.5106	396.289	419.4556	450.3143	475.3672	514.932	558.0753	621.5103	665.5697	702.7731
80	468.5643	118.3328	212.4029	1046.129	278.7813	303.7137	328.7902	365.8552	394.5884	429.0816	454.4843	482.8582	519.0809	564.2216	621.4829	679.2908	729.95
81	482.3757	121.4047	239.5204	1074.939	280.8843	310.4255	340.5114	377.3712	411.2517	441.5631	467.1916	497.8916	528.3493	577.2677	634.6802	701.0335	733.4678
82	482.437	122.5455	245.4445	1041.34	278.844	308.6454	337.0668	375.3412	408.9499	438.9966	471.9163	499.6139	533.2973	576.485	640.1469	696.7769	753.3167
83	497.5051	125.3942	237.5942	1078.015	295.2914	324.327	350.5624	385.501	416.3136	451.8993	480.9532	515.9322	551.3429	604.3335	673.0111	722.3441	763.2241
84	507.2036	132.4951	267.0712	1004.199	304.0724	331.5162	355.785	393.7944	427.502	454.207	481.9772	513.8823	555.5034	608.835	696.4309	756.7179	797.3644
85	509.0475	129.6906	259.4321	987.552	306.8452	327.1238	359.1309	398.3566	428.551	457.3959	488.642	523.1061	563.9761	614.1189	687.6111	749.1475	792.0581
86	528.8546	138.1795	260.6492	1044.833	309.0712	341.044	374.3568	407.631	441.2528	469.6062	506.4751	547.191	586.8254	632.744	716.2339	787.1137	845.0491
87	530.7442	137.18	242.1405	1131.392	312.6692	338.9498	369.5592	414.5564	446.6833	476.2552	510.8072	550.1391	588.4446	641.0413	716.6861	779.5069	832.0751
88	540.5726	133.8492	262.4443	1131.036	329.407	355.373	383.6339	423.2068	463.1684	494.5877	524.7133	556.4342	588.6468	644.9953	710.4759	787.6776	836.308
89	551.3448	137.1567	279.4387	1021.545	326.4108	354.2683	384.8467	430.322	465.9861	503.3061	534.3154	568.9358	612.8825	668.1878	736.6851	807.6503	846.1537
90	564.1297	153.1609	275.5812	1227.736	323.8117	355.8932	385.5023	428.8939	469.8191	506.0583	549.4097	581.6296	628.4656	680.6916	763.2195	834.6862	903.3161
91	561.2387	144.8783	253.5882	1209.773	330.1666	366.6988	393.9619	435.0218	467.031	499.4517	533.9644	580.293	627.9992	686.5792	749.7453	819.9421	878.4145
92	584.3029	147.3291	293.6035	1304.716	361.2644	386.057	414.9132	456.8162	492.4632	532.3551	559.7446	593.5781	644.2725	697.7586	782.2608	861.8213	913.5311
93	594.005	154.0926	299.7916	1293.536	342.7973	381.7421	415.6946	457.5992	499.2665	536.8575	573.9747	614.974	653.3736	717.6775	801.6296	883.3193	952.8389
94	590.1026	149.4968	297.8036	1213.063	352.1832	387.2467	420.0905	463.7036	500.988	530.8465	563.0639	605.4436	653.5863	714.2248	789.6835	885.663	931.904
95	608.7277	161.918	278.4403	1432.933	353.0722	392.4831	428.0456	471.3916	512.7846	550.0491	585.8541	626.8285	667.1462	725.7754	824.0576	917.3249	968.9376
96	621.7279	158.9421	308.5968	1292.049	372.6352	398.9499	430.1814	480.0885	523.1032	562.6135	603.3332	640.7722	688.2797	749.1916	844.0883	905.5667	962.4453
97	637.9553	164.8954	300.9601	1485.582	374.3461	413.5904	450.9346	500.6076	535.5147	575.8177	614.6202	657.6542	703.0455	765.0863	854.8292	933.2149	996.0778
98	636.7724	158.4329	251.8075	1300.408	379.3705	417.0995	450.5508	498.2138	541.9622	578.3036	615.4307	663.2782	703.1799	764.0654	846.4857	920.7524	990.5781
99	647.9177	173.5672	282.6942	1593.023	379.5563	416.8033	448.4964	498.5268	540.657	581.4817	620.0968	658.1314	717.9457	781.3175	879.8903	958.1122	1025.354
100	665.5367	180.7271	303.259	1288.392	378.9789	421.9005	455.0505	506.0968	559.6901	598.1246	638.6697	686.1326	738.7956	802.2269	909.6153	1021.952	1082.469
